support,words
0.002639782077564661,已经-没有
0.002443202561150271,已经-比较
0.002302788620854278,已经-非常
0.002106209104439889,比较-没有
0.002050043528321492,不断-进一步
0.0018815467999663009,已经-进一步
0.0018534640119071022,已经-必须
0.0018253812238479038,不断-越来越
0.0018253812238479038,不断-已经
0.0017972984357887052,已经-甚至
0.0017972984357887052,不断-必须
0.001741132859670308,仍然-没有
0.0017130500716111097,比较-特别
0.0016288017074335141,反而-没有
0.0016007189193743155,不断-逐步
0.001572636131315117,不断-特别
0.001572636131315117,实际上-已经
0.00151647055519672,主要-已经
0.00151647055519672,一直-没有
0.0014883877671375213,已经-特别
0.0014883877671375213,更加-进一步
0.0014322221910191245,其实-已经
0.0014322221910191245,已经-越来越
0.0014041394029599258,仍然-已经
0.0013479738268415288,不断-没有
0.0012637254626639333,不断-始终
0.0012637254626639333,当然-没有
0.0012637254626639333,不断-更加
0.0012356426746047348,主要-特别
0.0011794770984863375,已经-逐步
0.0011794770984863375,没有-甚至
