support,words
0.03890091956187428,中国-经济
0.02427580579355365,市场-经济
0.022267206477732792,企业-市场
0.020729372626557448,政策-经济
0.019066001318143302,社会-经济
0.01865800458211719,经济-问题
0.018014625113768317,企业-经济
0.017590936195587357,市场-资本
0.01701032545585789,我国-经济
0.016084486708721715,中国-市场
0.0155195681511471,国家-经济
0.015456799422527697,政府-经济
0.01492326522926278,经济-金融
0.013714967203339295,市场-政府
0.013589429746100492,企业-政府
0.013102972099300128,经济-结构
0.01282051282051282,产业-经济
0.012600822270344914,市场-政策
0.012381131720177008,中国-国家
0.012365439538022157,市场-金融
0.012224209898628505,作用-经济
0.011988827166305746,中国-问题
0.011784828798292693,政策-货币
0.011518061701660231,作用-市场
0.011455292973040829,国际-经济
0.011188525876408374,世界-经济
0.011094372783479273,世界-中国
0.01106298841916957,经济-需求
0.011047296237014718,价格-市场
0.01100021969055017,体制-经济
0.010670683865298307,市场-资源
0.010592222954524057,市场-问题
0.010545146408059505,宏观-经济
0.010498069861594954,基础-设施
0.010466685497285251,公司-市场
0.010466685497285251,经济-美国
0.010435301132975552,机构-金融
0.01040391676866585,经济-资源
0.010309763675736749,市场-资金
0.010278379311427045,中国-国际
0.010137149672033392,企业-问题
0.010090073125568842,金融-风险
0.010074380943413992,中国-企业
0.009886074757555784,经济-资本
0.009729152936007282,政府-政策
0.009650692025233028,方面-经济
0.009525154567994227,实体-经济
0.009227003107052066,经济-货币
0.009179926560587515,全球-经济
0.009117157831968113,市场-投资者
0.00903869692119386,国际-市场
0.00896023601041961,市场-机制
0.008866082917490506,地方-政府
0.008850390735335657,中国-美国
0.008834698553180805,市场-风险
0.008787622006716254,基础-经济
0.008693468913787151,企业-成本
0.008552239274393497,企业-资本
0.008426701817154695,产业-技术
0.008395317452844992,经济-质量
0.00831685654207074,国内-市场
0.00830116435991589,水平-经济
0.008269779995606191,环境-经济
0.008191319084831937,社会-问题
0.008128550356212535,技术-经济
0.008097165991902834,企业-技术
0.00801870508112858,产业-企业
0.008003012898973729,中国-政策
0.007987320716818881,中国-社会
0.007987320716818881,政府-社会
0.00797162853466403,危机-金融
0.007846091077425227,经济-风险
0.007799014530960675,制度-市场
0.007673477073721872,中国-政府
0.007657784891567021,市场-我国
0.00764209270941217,政府-问题
0.0076264005272573205,体系-经济
0.0075950161629476185,制度-经济
0.007469478705708816,原因-经济
