support,words
0.1777767316323008,经济
0.14077456611116346,市场
0.11635753067821612,中国
0.10482377679440102,企业
0.08586762075134168,问题
0.06772745818033456,政府
0.06493424975677117,社会
0.06471455920660328,政策
0.058076766155101524,国家
0.05285126949753632,金融
0.04687254809653831,我国
0.045774095345698776,资本
0.04483256441640775,产业
0.04450302859115589,公司
0.0414273608888052,作用
0.04111351724570818,技术
0.04040736904873992,方面
0.04017198631641716,制度
0.03836738536860936,风险
0.03828892445783511,资金
0.03792800426827354,资源
0.037080626431911616,国际
0.036688321878040366,需求
0.0365470922386467,原因
0.0361704798669303,价格
0.03489941311238741,美国
0.03427172582619339,银行
0.03361265417568967,成本
0.03331450271474752,基础
0.03224743432821768,结构
0.03216897341744343,水平
0.031980667231585234,收入
0.0313215955810815,现在
0.030427141198255032,情况
0.02981514609421586,货币
0.029014844804318488,产品
0.028606848068292376,环境
0.028402849700279318,体制
0.027837931142704702,机构
0.02746131877098829,机制
0.027445626588833445,目前
0.027445626588833445,世界
0.027006245488497633,体系
0.02631578947368421,国内
0.0259391771019678,能力
0.02531148981577378,方式
0.02350688886796598,全球
0.02284781721746226,城市
0.022832125035307408,行业
0.0225496657565201,投资者
0.02237705175281675,过程
0.02237705175281675,资产
0.022345667388507046,质量
0.021341367730596614,地区
0.02113736936258356,地方
0.021074600633964158,信息
0.020901986630260803,时间
0.020870602265951103,条件
0.0208078335373317,领域
0.020101685340363433,行为
0.020054608793898882,关系
0.020023224429589183,因素
0.019662304240027614,效率
0.019536766782788813,未来
0.01926999968615636,利益
0.01922292313969181,规模
0.018783542039355998,部门
0.01861092803565264,人口
0.018234315663936226,战略
0.018140162571007125,财政
0.017732165834981013,今年
0.017590936195587357,农村
0.017543859649122806,优势
0.01724570818818065,目标
0.01701032545585789,过去
0.01699463327370304,宏观
0.016869095816464237,利率
0.016837711452154538,项目
0.016618020901986632,时候
0.016570944355522078,危机
0.01655525217336723,科技
0.016523867809057527,压力
0.016194331983805668,要素
0.016178639801650817,之间
0.016131563255186266,程度
0.01586479615855381,措施
0.015739258701315,模式
0.015064494868656438,速度
0.015048802686501585,人们
0.01492326522926278,价值
0.014891880864953081,以来
0.014719266861249724,机会
0.014672190314785175,当前
0.014593729404010922,理论
0.014483884128926969,现象
0.014483884128926969,人民
0.014436807582462418,农民
0.014358346671688163,人民币
0.014201424850139659,数据
0.014107271757210556,股市
0.01409157957505571,居民
0.013950349935662054,历史
0.013887581207042652,个人
0.01382481247842325,阶段
0.013746351567648998,传统
0.013652198474719894,基金
0.013558045381790793,劳动力
0.013479584471016541,法律
0.013354047013777737,汇率
0.013275586103003485,股票
0.013244201738693782,结果
0.013071587734990429,设施
0.012883281549132222,GDP
0.012851897184822521,市场经济
