,casualtag,cflag,eflag,eventtag,filename,sentence,uploadTime,username
0,1,1,0,0,TEST,不过，这次新三板市场的改革解决了这个问题，因为其中的措施之—，就是优化发行融资制度，允许符合条件的创新层企业向不特定的合格投资者公开发行股票。,2019-12-10 22:24:10.019,radish
1,1,1,0,0,TEST,既然精选层公司从创新层中选拔，而创新层公司又可以公开发行股票，因此精选层挂牌公司的股权结构问题当不难解决。,2019-12-10 22:24:10.019,radish
2,1,1,0,0,TEST,既然直接转板有“符合交易所上市条件和相关规定”，那么，精选层挂牌公司就从这方面严格把关，为下一步这些公司的直接转板上市扫清障碍。,2019-12-10 22:24:10.019,radish
3,1,1,0,0,TEST,因此，在精选层公司可以直接转板上市的背景下，精选层的投资者门槛也有必要大幅降低，甚至直接对接。,2019-12-10 22:24:10.019,radish
4,1,1,0,0,TEST,毕竟新三板已经在创新层这一层面允许符合条件的企业向不特定合格投资者公开发行股票，既然已经公开发行股票，因此基于方便投资者交易的需要，也有必要在交易方式上与A股市场对接，在精选层实行连续竞价交易。,2019-12-10 22:24:10.019,radish
5,1,1,0,0,TEST,然而，随着近年来IPO发行常态化的出现，却呈现出几个明显的市场表现。,2019-12-10 22:24:10.019,radish
6,1,1,0,0,TEST,从某种程度思考，正因为新股本身具有持续赚钱能力，那么也自然容易受到市场资金的参与。,2019-12-10 22:24:10.019,radish
7,1,1,0,0,TEST,不过，对于新股上市首日开板的现象，确实有所出乎市场预期，而这一现象会否得到延续，或是否由此改变A股市场的游戏规则，那么仍需要得到时间验证。,2019-12-10 22:24:10.019,radish
8,1,1,0,0,TEST,或许，在未来市场逐渐走向注册制的趋势下，未来A股新股的首日表现可能会存在港股化的趋势，即新股上市后的价格表现，则从很大程度上取决于市场。,2019-12-10 22:24:10.019,radish
9,1,1,0,0,TEST,假如A股新股表现呈现出港股化的趋势，那么将会从一定程度上改变现有资金的打新计划，而在新股上市首日开板乃至破发的背景下，资金采取市值配售策略的积极性也会有所下降，届时将会更考验投资者的打新申购智慧，但也是市场化趋于成熟的表现。,2019-12-10 22:24:10.019,radish
10,1,1,0,0,TEST,或许，渝农商行开启了A股新股上市首日开板的时代，但从估值定价、市值规模及所属行业等因素分析，渝农商行上市首日开板暂时还是个例，而按照当前A股市场的资金面环境，A股新股首日开板现象未必具有普遍性，但随着新股的不断扩容，且明显超出了市场存量资金的承受能力，那么未来A股市场还是会接连出现上市首日开板乃至上市首日破发的现象。,2019-12-10 22:24:10.019,radish
11,1,1,0,0,TEST,之所以认为“压低长期利率应当成为中国央行货币政策调节重要而长期的目标”，核心理念就是“金融长期化、资本化、股权化关系到金融服务实体经济的有效性”。,2019-12-10 22:24:10.019,radish
12,1,1,0,0,TEST,周莉萍论述了基础货币量化宽松、尤其是释放长期基础货币与压低长期利率之间的关系，但如果我们确信这是“金融长期化、资本化、股权化”的过程，那美国“基于长期基础货币投放的量化宽松货币政策”就谈不上失败，而且相当成功，因为美国股市连续上涨10年，它使得“企业来自长期的股权融资占比上升100%，而最不稳定的短期货币融资降低50%”，这是美联储前主席耶伦告诉全世界的基本事实。,2019-12-10 22:24:10.019,radish
13,1,1,0,0,TEST,正因如此，我们希望再次重申，金融长期化、资本化、股权化的关键在于中央银行如何理解基础货币，如何操作基础货币。,2019-12-10 22:24:10.019,radish
14,1,1,0,0,TEST,改革开放初期，中国经济之所以高速增长，其中一个重要原因是中国老百姓沿袭着祖祖辈辈传下来的“艰苦朴素作风”。,2019-12-10 22:24:10.019,radish
15,1,1,0,0,TEST,这种作风或生活习惯，使得老百姓大量生活结余变成银行储蓄，近而为经济发展提供了重要的资本来源，这同样体现着中国的“人口优势和人口红利”。,2019-12-10 22:24:10.019,radish
16,1,1,0,0,TEST,还有，近年来中国“新增储蓄金额低于新增个人贷款金额”已经成为常态，这说明老百姓的贷款已经开始消耗其储蓄存量，已经不能有效支撑企业贷款的合理增长。,2019-12-10 22:24:10.019,radish
