,casualtag,cflag,eflag,eventtag,filename,sentence,uploadTime,username
0,1,1,0,0,TEST,不过，这次新三板市场的改革解决了这个问题，因为其中的措施之—，就是优化发行融资制度，允许符合条件的创新层企业向不特定的合格投资者公开发行股票。,2019-12-10 22:24:10.019,radish
1,1,1,0,0,TEST,既然精选层公司从创新层中选拔，而创新层公司又可以公开发行股票，因此精选层挂牌公司的股权结构问题当不难解决。,2019-12-10 22:24:10.019,radish
2,0,1,0,0,TEST,其次是对精选层挂牌公司的业绩严格把关，让挂牌公司的业绩不低于A股发行公司上市条件的要求。,2019-12-10 22:24:10.019,radish
3,1,1,0,0,TEST,既然直接转板有“符合交易所上市条件和相关规定”，那么，精选层挂牌公司就从这方面严格把关，为下一步这些公司的直接转板上市扫清障碍。,2019-12-10 22:24:10.019,radish
4,0,1,0,0,TEST,其三，在精选层严格执行A股市场的监管措施，包括信披要求以及对违法违规行为的查处。,2019-12-10 22:24:10.019,radish
5,0,1,0,0,TEST,这一点其实也是符合本次全面深化新三板市场改革要求的。,2019-12-10 22:24:10.019,radish
6,0,1,0,0,TEST,毕竟在这次改革中，加强监管也是内容之一，具体要求是加强监督管理，实施分类监管，研究提高违法成本，切实提升挂牌公司的质量。,2019-12-10 22:24:10.019,radish
7,0,1,0,0,TEST,其四，降低投资者准入门槛。,2019-12-10 22:24:10.019,radish
8,0,1,0,0,TEST,比如将精选层投资者准入门槛降低到50万元甚至更低，与科创板、创业板的准入门槛保持一致。,2019-12-10 22:24:10.019,radish
9,0,1,0,0,TEST,从过去的报道来看，新三板公司转板创业板的呼声较高。,2019-12-10 22:24:10.019,radish
10,1,1,0,0,TEST,因此，在精选层公司可以直接转板上市的背景下，精选层的投资者门槛也有必要大幅降低，甚至直接对接。,2019-12-10 22:24:10.019,radish
11,0,1,0,0,TEST,此外，在精选层实行连续竞价交易，在交易方式上也与A股市场对接。,2019-12-10 22:24:10.019,radish
12,1,1,0,0,TEST,毕竟新三板已经在创新层这一层面允许符合条件的企业向不特定合格投资者公开发行股票，既然已经公开发行股票，因此基于方便投资者交易的需要，也有必要在交易方式上与A股市场对接，在精选层实行连续竞价交易。,2019-12-10 22:24:10.019,radish
13,0,1,0,0,TEST,渝农商行上市首日开板，距离新股上市首日破发的现象还有多远？,2019-12-10 22:24:10.019,radish
14,0,1,0,0,TEST,作为国内首家A+H股的上市农商行，渝农商行的上市表现备受关注，甚至被赋予了较高的上市市值规模预期。,2019-12-10 22:24:10.019,radish
15,0,1,0,0,TEST,但是，良好的市场预期表现，却在渝农商行首日上市之际遭到了打破。,2019-12-10 22:24:10.019,radish
16,0,1,0,0,TEST,在A股市场中，自IPO新规实施以来，新股基本上延续着首日触及涨幅上限，而后产生出连续一字涨停板的市场表现。,2019-12-10 22:24:10.019,radish
17,1,1,0,0,TEST,然而，随着近年来IPO发行常态化的出现，却呈现出几个明显的市场表现。,2019-12-10 22:24:10.019,radish
18,0,1,0,0,TEST,其中，新股连续涨停板的次数有所减弱，甚至出现首日上市后仅有1至2个涨停板的现象。,2019-12-10 22:24:10.019,radish
19,0,1,0,0,TEST,与此同时，则是新股的累计涨幅有所减少，新股持续赚钱效应却有所减弱，而A股市场新股不败神话，也似乎得到了动摇。,2019-12-10 22:24:10.019,radish
20,0,1,0,0,TEST,10月29日，则是A股市场最值得纪念的日子。,2019-12-10 22:24:10.019,radish
21,0,1,0,0,TEST,就在这一天，A股市场出现了自IPO新规实施以来的首家上市开板的上市公司。,2019-12-10 22:24:10.019,radish
22,0,1,0,0,TEST,渝农商行成为首家上市开板的上市公司，既存在着一定的市场预期，但同时也出乎了市场的预期。,2019-12-10 22:24:10.019,radish
23,0,1,0,0,TEST,谈及预期之内的事情，则是渝农商行的发行估值以及发行价格并不便宜。,2019-12-10 22:24:10.019,radish
